prev_filename,new_filename,filename,page_height,page_width,page_height_scaled,page_width_scaled,AuthorID,Overlapped,category,id,x,y,width,height,x_scaled,y_scaled,w_scaled,h_scaled
06b9246bd9a94bf5ee2f24a611755752.jpg,06b9246bd9a94bf5ee2f24a611755752.jpg,14.jpg,564,903,640.0,399.734219269103,NA,NA,DLSignature,,240,619,38,55,170,438,26,38
6c1097322ae94248993ba9e9139c97a9.jpg,6c1097322ae94248993ba9e9139c97a9.jpg,15.jpg,528,357,324.54545454545456,480.0,NA,NA,DLSignature,,407,232,100,36,370,210,90,32
6f72b15d2323762dc155ecfdaf5ef8b1_L.jpg,6f72b15d2323762dc155ecfdaf5ef8b1_L.jpg,16.jpg,855,516,289.6842105263158,480.0,NA,NA,DLSignature,,167,401,97,67,93,225,54,37
000011.jpg,000011.jpg,19.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,277,2209,253,155,46,368,42,25
000016.jpg,000016.jpg,20.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,546,2099,334,175,91,349,55,29
000017.jpg,000017.jpg,21.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1337,1920,265,130,222,320,44,21
000021.jpg,000021.jpg,22.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,385,1310,139,84,128,436,46,28
000025 (2).jpg,000025 (2).jpg,23.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,289,1282,114,90,96,427,38,30
000025.jpg,000025.jpg,24.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,566,725,120,65,188,241,40,21
000028.jpg,000028.jpg,25.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1210,1956,265,90,201,326,44,15
000031 (2).jpg,000031 (2).jpg,26.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,214,774,110,75,71,258,36,25
000031.jpg,000031.jpg,27.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,660,2140,277,122,110,356,46,20
000036.jpg,000036.jpg,28.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1194,2021,245,151,199,336,40,25
000039.jpg,000039.jpg,29.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,734,2168,187,134,122,361,31,22
000046.jpg,000046.jpg,30.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,632,1659,171,139,105,276,28,23
000049 (2).jpg,000049 (2).jpg,31.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,848,2498,179,134,141,416,29,22
000049 (3).jpg,000049 (3).jpg,32.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1471,2225,228,155,245,370,38,25
000049.jpg,000049.jpg,33.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,632,1060,110,73,210,353,36,24
000053.jpg,000053.jpg,34.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,192,856,169,86,64,285,56,28
000056.jpg,000056.jpg,35.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1422,1858,155,122,237,309,25,20
000061.jpg,000061.jpg,36.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1541,2327,183,122,256,387,30,20
000067.jpg,000067.jpg,37.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1125,2392,228,126,187,398,38,21
000069 (2).jpg,000069 (2).jpg,38.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1333,2107,167,143,222,351,27,23
000069.jpg,000069.jpg,39.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1316,2038,293,134,219,339,48,22
000081.jpg,000081.jpg,41.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1194,1952,285,122,199,325,47,20
000097.jpg,000097.jpg,42.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1178,2054,293,155,196,342,48,25
000111.jpg,000111.jpg,43.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1500,1940,212,175,250,323,35,29
000125.jpg,000125.jpg,44.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,310,1064,116,73,103,354,38,24
000133.jpg,000133.jpg,45.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,677,626,124,63,225,208,41,21
000141.jpg,000141.jpg,46.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1418,2237,196,114,236,372,32,19
000145 (2).jpg,000145 (2).jpg,47.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1435,2070,200,159,239,345,33,26
000145 (3).jpg,000145 (3).jpg,48.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,764,571,96,79,254,190,32,26
000145.jpg,000145.jpg,49.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,416,835,190,84,138,278,63,28
000149.jpg,000149.jpg,50.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,585,848,202,77,195,282,67,25
000165.jpg,000165.jpg,51.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,660,770,120,110,220,256,40,36
000176.jpg,000176.jpg,52.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1312,1928,265,122,218,321,44,20
000186.jpg,000186.jpg,54.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,283,1066,208,67,94,355,69,22
000201 (2).jpg,000201 (2).jpg,55.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,703,1135,118,79,234,378,39,26
000201.jpg,000201.jpg,56.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,583,1125,90,82,194,375,30,27
000213.jpg,000213.jpg,57.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,685,897,106,79,228,299,35,26
000221.jpg,000221.jpg,58.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1202,1989,302,122,200,331,50,20
000225.jpg,000225.jpg,59.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,393,915,157,92,131,305,52,30
000233.jpg,000233.jpg,60.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,713,952,130,71,237,317,43,23
000256.jpg,000256.jpg,61.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,395,2066,192,98,65,344,32,16
000261.jpg,000261.jpg,62.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,660,974,143,63,220,324,47,21
000280.jpg,000280.jpg,63.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1267,2510,253,118,211,418,42,19
000325 (2).jpg,000325 (2).jpg,64.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1051,2123,224,73,175,353,37,12
000325 (3).jpg,000325 (3).jpg,65.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,982,2600,261,130,163,433,43,21
000325.jpg,000325.jpg,67.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1243,1964,310,94,207,327,51,15
000370.jpg,000370.jpg,68.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1492,2221,306,110,248,370,51,18
000397.jpg,000397.jpg,69.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,518,2380,526,196,86,396,87,32
000511.jpg,000511.jpg,70.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,611,2278,216,155,101,379,36,25
562ef8cd8609b.image.jpg,562ef8cd8609b.image.jpg,71.jpg,667,500,359.8200899550225,480.00000000000006,NA,NA,DLSignature,,508,364,62,40,365,261,44,28
78496.pz7c10.1280.jpg,78496.pz7c10.1280.jpg,72.jpg,1280,706,264.75,480.0,NA,NA,DLSignature,,302,543,171,114,113,203,64,42
469368eaca71a0a0b7898111915cbf49.jpg,469368eaca71a0a0b7898111915cbf49.jpg,73.jpg,736,981,639.7826086956521,480.0,NA,NA,DLSignature,,402,618,57,47,262,403,37,30
10112775_fbimg1566896748314_jpeg5f58f06b1458d3b4ba17b2f502ee4097.jpg,10112775_fbimg1566896748314_jpeg5f58f06b1458d3b4ba17b2f502ee4097.jpg,74.jpg,600,597,477.6,480.0,NA,NA,DLSignature,,414,439,62,41,331,351,49,32
1572997082416.jpg,1572997082416.jpg,75.jpg,800,793,475.79999999999995,480.0,NA,NA,DLSignature,,420,622,123,33,252,373,73,19
1608770219515.jpg,1608770219515.jpg,76.jpg,620,440,340.64516129032256,480.0,NA,NA,DLSignature,,306,239,141,46,236,185,109,35
af43c92d1c911217ca8be24b420a08d4.jpg,af43c92d1c911217ca8be24b420a08d4.jpg,77.jpg,600,337,269.6,480.0,NA,NA,DLSignature,,434,226,34,30,347,180,27,24
buy-real-UK-driving-license-genuine-uk-driving-license-for-sale-400x400xc-1-300x300.jpg,buy-real-UK-driving-license-genuine-uk-driving-license-for-sale-400x400xc-1-300x300.jpg,79.jpg,300,300,240.0,240.0,NA,NA,DLSignature,,73,144,80,29,58,115,64,23
c02566628438ca539b897fda688e153f--dots-high.jpg,c02566628438ca539b897fda688e153f--dots-high.jpg,80.jpg,736,495,322.82608695652175,480.0,NA,NA,DLSignature,,296,245,153,39,193,159,99,25
ccffb40091404f5616f38fbda2fe7550.jpg,ccffb40091404f5616f38fbda2fe7550.jpg,81.jpg,750,1000,640.0,480.0,NA,NA,DLSignature,,54,537,158,103,34,343,101,65
d5015aaaa869256c409a28f0db31d8ef.jpg,d5015aaaa869256c409a28f0db31d8ef.jpg,82.jpg,628,387,295.79617834394907,480.00000000000006,NA,NA,DLSignature,,291,209,110,37,222,159,84,28
fake-Australia-driving-license.jpg,fake-Australia-driving-license.jpg,83.jpg,314,200,152.86624203821657,240.00000000000003,NA,NA,DLSignature,,62,167,56,25,47,127,42,19
fake-driver-1140x641.jpg,fake-driver-1140x641.jpg,84.jpg,1140,641,269.89473684210526,480.0,NA,NA,DLSignature,,728,461,168,103,306,194,70,43
fd551487d4c733de5f51902bd6bb7e22.jpg,fd551487d4c733de5f51902bd6bb7e22.jpg,85.jpg,474,474,199.57894736842104,199.57894736842104,NA,NA,DLSignature,,192,223,106,54,80,93,44,22
images (1).jpg,images (1).jpg,87.jpg,225,225,94.73684210526315,94.73684210526315,NA,NA,DLSignature,,114,126,32,26,48,53,13,10
images (2).jpg,images (2).jpg,88.jpg,194,259,109.05263157894736,81.68421052631578,NA,NA,DLSignature,,107,141,80,24,45,59,33,10
images (3).jpg,images (3).jpg,89.jpg,225,225,94.73684210526315,94.73684210526315,NA,NA,DLSignature,,106,139,33,27,44,58,13,11
images.jpg,images.jpg,90.jpg,225,225,94.73684210526315,94.73684210526315,NA,NA,DLSignature,,107,123,78,24,45,51,32,10
img12.jpg,img12.jpg,91.jpg,981,736,360.1223241590214,480.0,NA,NA,DLSignature,,168,522,252,64,82,255,123,31
Latvia-drivers-license-1015.jpg,Latvia-drivers-license-1015.jpg,92.jpg,1000,731,350.88,480.0,NA,NA,DLSignature,,381,453,202,54,182,217,96,25
photo_2021-05-03_01-02-43-300x300.jpg,photo_2021-05-03_01-02-43-300x300.jpg,93.jpg,300,300,144.0,144.0,NA,NA,DLSignature,,169,197,99,43,81,94,47,20
Screenshot_20200721-074055.jpg,Screenshot_20200721-074055.jpg,94.jpg,979,1012,496.1797752808989,480.0,NA,NA,DLSignature,,83,591,159,46,40,289,77,22
spanish-sun.com_DNI.jpg,spanish-sun.com_DNI.jpg,95.jpg,1600,900,270.0,480.0,NA,NA,DLSignature,,715,674,342,122,214,202,102,36
uYmWseK.jpg,uYmWseK.jpg,96.jpg,1200,1800,640.0,426.6666666666667,NA,NA,DLSignature,,481,900,242,78,171,320,86,27
vintage-passport-albania-young-boy_1_59d33222cfb9f0a6a3d523cb0986dfe8.jpg,vintage-passport-albania-young-boy_1_59d33222cfb9f0a6a3d523cb0986dfe8.jpg,97.jpg,810,1080,640.0,480.0,NA,NA,DLSignature,,356,969,157,50,210,574,93,29
